kelime
EMIR
HARUN
MIKAIL
HULYA
HOCA
SUNUM
ELDIVEN
DEVRE
YAZILIM
SELAM
MERHABA
NABER
SAGOL
GUNAYDIN
LUTFEN
GORUSURUZ
GEL
BAK
DUR
BEKLE
SUSADIM
TAMAM
KIM
VAR
DOGRU
BUGUN
SIMDI
SABAH
BES
BIZ
ANNE
YEMEK
BILGISAYAR
SICAK
KOTU
YENI
DEDE
BABA
AMCA
HALA
OKUL
MASA
SIRA
KALEM
SILGI
MOTHER
FATHER
UNCLE
AUNT
SCHOOL
TABLE
DESK
PEN
ERASER
COMPUTER
